City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,tazacorte,28.629,-17.9293,22.54,88,0,7.72,ES,1689386003
240,khost,33.3395,69.9204,28.11,57,0,1.55,AF,1689386004
241,kuta,-8.7233,115.1723,27.97,78,40,5.81,ID,1689386004
242,chatra,24.2167,84.8667,27.9,74,100,0.69,IN,1689386005
243,miranda,3.2499,-76.2281,23.07,93,89,2.75,CO,1689386005
244,ripky,51.801,31.0838,12.28,88,3,3.4,UA,1689386005
245,mil'kovo,55.6078,37.7956,15.33,98,100,2.37,RU,1689386005
246,livny,52.4253,37.6069,14.59,95,100,2.91,RU,1689386006
247,tyre,33.2733,35.1939,26.22,60,0,1.12,LB,1689386006
248,nizhniy odes,63.6445,54.856,14.09,65,73,1.06,RU,1689386006
249,santanyi,39.3546,3.1291,24.9,79,0,2.22,ES,1689386007
250,kichmengskiy gorodok,59.9816,45.7854,14.18,82,100,1.61,RU,1689386007
251,bubaque,11.2833,-15.8333,26.48,85,100,8.22,GW,1689386007
252,borba,-4.3878,-59.5939,25.28,76,69,1.21,BR,1689386008
253,karratha,-20.7377,116.8463,22.61,39,0,11.84,AU,1689386008
254,dolinsk,47.35,142.8,15.83,66,100,2.94,RU,1689386008
255,anori,-3.7728,-61.6442,24.03,86,58,0.6,BR,1689386009
256,nephi,39.7102,-111.8363,29.19,24,0,5.4,US,1689386009
257,waspan,14.7419,-83.9717,24.53,96,52,1.58,NI,1689386009
258,tolanaro,-25.0319,46.9987,19.04,72,75,2.06,MG,1689386010
259,broken hill,-31.95,141.4333,17.99,37,19,6.71,AU,1689386010
260,klyuchi,52.2667,79.1667,28.43,41,1,6.53,RU,1689386010
261,biltine,14.5333,20.9167,28.04,56,92,5.44,TD,1689386011
262,swakopmund,-22.6833,14.5333,13.32,86,0,0.89,NA,1689386011
263,mbanza-ngungu,-5.25,14.8667,20.13,64,1,3.1,CD,1689386011
264,kismayo,-0.3582,42.5454,24.84,82,28,6.83,SO,1689386011
265,betio village,1.358,172.9211,30.02,71,33,3.19,KI,1689386012
266,houghton,47.1219,-88.569,19.71,87,75,2.06,US,1689385760
267,shakawe,-18.3667,21.85,9.43,59,0,2.69,BW,1689386014
268,zabaykal'sk,49.6333,117.3167,25.82,27,0,5.03,RU,1689386014
269,mugia,43.1041,-9.2179,17.73,83,100,7.36,ES,1689386014
270,mount pearl,47.5166,-52.7813,18.19,88,75,6.69,CA,1689385969
271,wotho,10.1657,166.0102,28.4,74,86,8.19,MH,1689386015
272,haiku-pauwela,20.9219,-156.3051,29.17,62,20,9.26,US,1689386015
273,mulanje,-16.0316,35.5,12.77,96,0,2.28,MW,1689386016
274,abadiania,-16.2042,-48.7069,16.51,80,1,1.72,BR,1689386016
275,mogocha,53.7333,119.7667,26.25,30,0,1.14,RU,1689386016
276,nuuk,64.1835,-51.7216,8.34,93,100,1.54,GL,1689386016
277,oxelosund,58.6706,17.1015,9.21,87,0,2.06,SE,1689386017
278,palikir - national government center,6.9248,158.1611,30.41,74,100,2.57,FM,1689386017
279,rosarito,32.3333,-117.0333,27.73,65,53,3.4,MX,1689386017
280,krasnotur'insk,59.7666,60.2086,9.96,97,100,5.5,RU,1689386018
281,puerto madryn,-42.7692,-65.0385,4.81,78,0,6.06,AR,1689385857
282,nchelenge,-9.3451,28.734,16.2,66,0,2.67,ZM,1689386019
283,nizhneudinsk,54.9076,99.0276,22.14,69,17,1.74,RU,1689386019
284,arroyo,41.6096,-4.7969,20.89,78,0,4.63,ES,1689386019
285,rawson,-43.3002,-65.1023,4.07,80,0,8.51,AR,1689386019
286,auki,-8.7676,160.7034,25.07,93,100,1.55,SB,1689386020
287,bodaybo,57.8506,114.1933,18.01,59,41,0.19,RU,1689386020
288,morondava,-20.2833,44.2833,20.09,59,2,6.03,MG,1689386020
289,pemangkat,1.1667,108.9667,28.4,73,99,4.53,ID,1689386021
290,tura,25.5198,90.2201,23.38,98,100,2.4,IN,1689386021
291,hirara,24.8,125.2833,31.92,74,75,9.26,JP,1689386021
292,tarawa,1.419,172.984,30.05,70,75,1.54,KI,1689386021
293,slave lake,55.2834,-114.769,21.99,56,100,4.63,CA,1689386022
294,badger,64.8,-147.5333,21.14,59,75,4.63,US,1689386022
295,williams,52.1415,-122.1445,24.76,48,100,0.0,CA,1689386023
296,chonchi,-42.6128,-73.8092,3.95,95,39,1.31,CL,1689386023
297,nuku'alofa,-21.1333,-175.2,22.19,73,75,5.14,TO,1689386023
298,volokolamsk,56.0336,35.9694,13.12,99,100,2.07,RU,1689386024
299,fale old settlement,-9.3852,-171.2468,28.31,75,3,6.44,TK,1689386024
300,douglas,41.3,-96.167,26.49,69,0,2.57,US,1689385860
301,pyin oo lwin,22.0333,96.4667,22.79,76,92,1.79,MM,1689386024
302,uliastay,47.7417,96.8444,22.42,33,28,0.66,MN,1689386025
303,invercargill,-46.4,168.35,12.8,72,99,2.87,NZ,1689386025
304,baoqing,46.3317,132.2111,16.5,97,100,4.83,CN,1689386025
305,protaras,35.0125,34.0583,29.97,38,0,2.68,CY,1689385977
306,rio grande,-32.035,-52.0986,4.41,73,100,1.36,BR,1689386026
307,gubkinskiy,64.434,76.5026,14.38,50,2,2.7,RU,1689386026
308,katsuura,35.1333,140.3,25.53,87,100,10.23,JP,1689385810
309,necochea,-38.5473,-58.7368,5.7,79,100,4.93,AR,1689386027
310,faranah,10.0404,-10.7434,20.98,99,100,1.42,GN,1689386027
311,mar del plata,-38.0023,-57.5575,6.64,77,100,4.92,AR,1689385809
312,popondetta,-8.7537,148.2534,30.51,53,81,2.51,PG,1689386028
313,happy valley-goose bay,53.3168,-60.3315,24.17,60,75,2.06,CA,1689386028
314,ust'-ordynskiy,52.805,104.7508,24.81,51,18,2.31,RU,1689386028
315,luena,-11.7833,19.9167,16.1,51,0,2.57,AO,1689386029
316,benguela,-12.5763,13.4055,20.31,65,0,1.93,AO,1689386029
317,dali,25.7,100.1833,18.73,89,100,1.41,CN,1689386029
318,recani,31.2846,-4.2688,32.89,15,72,2.1,MA,1689386030
319,hilo,19.7297,-155.09,29.04,73,40,5.66,US,1689386030
320,kushiro,42.975,144.3747,18.53,100,75,3.09,JP,1689385806
321,dalton,34.7698,-84.9702,28.2,88,100,0.0,US,1689385844
322,bushehr,28.9684,50.8385,31.05,79,0,3.09,IR,1689386031
323,crucecita,-28.95,-58.9833,9.88,70,97,2.96,AR,1689386031
324,mbaiki,3.8678,17.9892,20.4,94,83,0.06,CF,1689386032
325,madang,-5.2246,145.7966,29.25,68,100,0.72,PG,1689386032
326,kasongo,-4.45,26.6667,22.04,52,0,1.34,CD,1689386032
327,shalkar,47.8288,59.6258,22.21,38,62,6.95,KZ,1689386032
328,nadi,-17.8,177.4167,22.0,83,75,2.06,FJ,1689385997
329,sinjar,36.3209,41.8754,32.05,13,0,1.71,IQ,1689386033
330,kailua-kona,19.6406,-155.9956,29.98,75,40,5.66,US,1689386033
331,odienne,9.51,-7.5692,21.18,98,100,1.3,CI,1689386033
332,pont rouge,48.8833,-72.0825,21.16,78,93,0.72,CA,1689386034
333,tamanrasset,22.785,5.5228,22.95,17,0,1.03,DZ,1689386034
334,prince rupert,54.3161,-130.3201,16.05,82,0,2.06,CA,1689386035
335,gusinoozyorsk,51.2833,106.5,18.91,67,0,2.66,RU,1689386037
336,athlone,53.4333,-7.95,13.12,96,100,6.14,IE,1689386037
337,mahibadhoo,3.7833,72.9667,27.76,74,12,1.75,MV,1689386037
338,safford,32.834,-109.7076,39.51,20,40,4.63,US,1689386038
339,frontera,26.9333,-101.45,37.96,26,16,2.24,MX,1689385920
340,tanumah,27.1,44.1333,30.11,7,0,3.93,SA,1689386038
341,corinto,37.9407,22.9573,28.23,44,0,0.99,GR,1689386038
342,sechura,-5.5569,-80.8222,22.88,76,8,7.23,PE,1689386039
343,city of balikpapan,-1.242,116.8942,26.97,94,75,4.63,ID,1689386039
344,akureyri,65.6835,-18.0878,5.96,87,75,4.63,IS,1689386039
345,nova sintra,14.8667,-24.7167,22.32,87,100,3.61,CV,1689386039
346,sidi ifni,29.3797,-10.173,21.01,83,0,2.08,MA,1689386040
347,dawei,14.0833,98.2,24.98,93,100,2.48,MM,1689386040
348,buka,40.8108,69.1986,25.39,26,0,1.53,UZ,1689386040
349,lanciano,42.2167,14.3882,25.81,79,0,1.76,IT,1689386041
350,ionia,42.9873,-85.0711,26.08,83,0,0.0,US,1689386001
351,rouissat,31.9243,5.3502,32.04,11,0,2.57,DZ,1689386041
352,greenland,43.0362,-70.8328,23.84,90,40,3.6,US,1689386041
353,ust'-barguzin,53.45,108.9833,19.65,54,69,0.31,RU,1689386042
354,i-n-salah,27.1935,2.4607,33.17,10,0,6.9,DZ,1689386042
355,rutland,43.6167,-73.0162,22.59,94,29,1.15,US,1689386039
356,sibiti,-3.6819,13.3499,19.2,75,27,0.81,CG,1689386043
357,bengkulu,-3.8004,102.2655,25.7,82,96,0.74,ID,1689386043
358,vorgashor,67.5833,63.95,13.93,57,12,1.88,RU,1689386043
359,kourou,5.1552,-52.6478,25.03,83,66,3.04,GF,1689386044
360,el calafate,-50.3408,-72.2768,-4.07,77,54,1.59,AR,1689386044
361,aykhal,66.0,111.5,7.86,48,56,5.95,RU,1689386044
362,saldanha,-33.0117,17.9442,12.87,81,0,2.21,ZA,1689386044
363,tangalle,6.024,80.7911,26.09,84,100,4.54,LK,1689386045
364,west bay,19.3667,-81.4167,30.04,78,20,3.6,KY,1689386045
365,mesquite,32.7668,-96.5992,37.32,52,0,4.47,US,1689385970
366,brindisi,40.5833,17.6667,28.02,73,0,3.15,IT,1689386045
367,westport,41.1415,-73.3579,25.74,88,100,2.06,US,1689385947
368,dwarka,22.2394,68.9678,28.37,81,89,8.44,IN,1689386046
369,ampanihy,-24.7,44.75,13.86,73,0,4.01,MG,1689386047
370,khuzdar,27.7384,66.6434,27.0,62,1,3.01,PK,1689386047
371,hegang,47.4,130.3667,15.94,99,100,3.99,CN,1689386047
372,yur'yevets,57.3201,43.1041,14.4,79,100,2.29,RU,1689386048
373,sunnyside,46.3237,-120.0087,35.31,30,0,0.0,US,1689386048
374,colac,-38.3333,143.5833,9.54,84,100,2.37,AU,1689385818
375,ksar el boukhari,35.8889,2.7491,30.19,28,6,2.38,DZ,1689386049
376,tsetserleg,47.475,101.4542,19.34,59,6,1.43,MN,1689386049
377,newman,37.3138,-121.0208,40.57,10,0,3.07,US,1689386049
378,camacupa,-12.0167,17.4833,11.98,43,2,1.95,AO,1689386049
379,tandil,-37.3217,-59.1332,4.82,90,97,3.56,AR,1689386050
380,kabul,34.5,69.4167,23.74,22,7,1.19,AF,1689385846
381,laojunmiao,39.8333,97.7333,25.66,17,1,1.46,CN,1689386050
382,puerto deseado,-47.7503,-65.8938,3.03,79,100,3.43,AR,1689386051
383,vyazemskiy,47.5378,134.7525,16.23,95,100,2.96,RU,1689386051
384,hithadhoo,-0.6,73.0833,28.12,76,11,2.82,MV,1689386051
385,belmonte,-15.8631,-38.8828,23.73,91,18,1.82,BR,1689386052
386,erenhot,43.6475,111.9767,21.95,45,24,3.35,CN,1689386052
387,porto novo,6.4965,2.6036,24.53,92,100,2.3,BJ,1689386052
388,beledweyne,4.7358,45.2036,23.89,69,52,7.33,SO,1689386052
389,aripuana,-9.1667,-60.6333,24.44,57,2,1.39,BR,1689385814
390,san juan,-31.5375,-68.5364,8.94,38,1,2.55,AR,1689385850
391,yeed,4.55,43.0333,22.79,70,55,8.05,SO,1689386054
392,kirakira,-10.4544,161.9205,27.13,84,98,7.19,SB,1689386055
393,alto araguaia,-17.3147,-53.2153,13.83,43,100,3.19,BR,1689386055
394,oppdal,62.5943,9.6912,7.09,90,58,2.75,NO,1689386055
395,pariaman,-0.619,100.12,25.03,72,100,0.29,ID,1689386055
396,pauini,-7.7136,-66.9764,24.75,68,8,0.62,BR,1689386056
397,lorengau,-2.0226,147.2712,28.64,76,96,5.21,PG,1689386056
398,les cayes,18.2,-73.75,27.05,75,100,1.75,HT,1689386056
399,upata,8.0086,-62.3989,22.33,96,50,1.88,VE,1689386057
400,kalmunai,7.4167,81.8167,28.01,73,100,2.68,LK,1689386057
401,lepsy,46.235,78.9456,28.43,24,88,6.3,KZ,1689386058
402,vila do maio,15.1333,-23.2167,27.44,87,100,4.47,CV,1689386058
403,queenstown,-31.8976,26.8753,6.86,52,100,2.88,ZA,1689386058
404,victoria point,-27.5833,153.3,20.53,72,43,0.45,AU,1689386059
405,tynda,55.1667,124.7167,23.77,50,0,0.68,RU,1689386059
406,inyonga,-6.7167,32.0667,14.08,61,0,1.99,TZ,1689386059
407,jiayuguan,39.8167,98.3,29.6,14,0,2.56,CN,1689386043
408,lloydminster,53.2835,-110.0016,19.12,48,40,4.12,CA,1689386060
409,zinjibar,13.1287,45.3807,30.58,61,6,2.3,YE,1689386061
410,blytheville,35.9273,-89.919,27.99,78,0,2.57,US,1689385774
411,bayanhongor,46.7167,100.1167,17.99,46,8,0.87,MN,1689386061
412,berbera,10.4396,45.0143,31.93,43,16,12.79,SO,1689386061
413,usogorsk,63.4106,48.6872,15.46,78,98,2.18,RU,1689386062
414,grand island,40.925,-98.342,26.97,69,0,2.06,US,1689386062
415,pineville,31.3224,-92.4343,31.96,72,0,3.09,US,1689386062
416,mount gambier,-37.8333,140.7667,11.24,74,99,3.81,AU,1689386063
417,port saint john's,-31.6229,29.5448,15.17,62,100,2.29,ZA,1689386064
418,guerrero negro,27.9769,-114.0611,20.96,72,4,8.74,MX,1689385908
419,timimoun,29.2639,0.231,30.21,10,0,5.66,DZ,1689386065
420,kirishi,59.4471,32.0205,12.51,93,100,1.75,RU,1689386065
421,det udom,14.906,105.0784,29.9,67,82,5.28,TH,1689386065
422,parkes,-33.1333,148.1833,17.97,50,47,0.45,AU,1689386066
423,bonthe,7.5264,-12.505,24.57,88,100,2.83,SL,1689386067
424,miri,4.4148,114.0089,25.08,94,40,4.12,MY,1689386067
425,saint-felix-de-valois,46.1668,-73.4324,23.18,89,0,0.57,CA,1689386067
426,tucuma,-0.1833,-50.05,24.62,91,11,2.72,BR,1689386068
427,wadgaon,18.7333,73.65,22.19,93,100,3.68,IN,1689386068
428,el jadid,33.2549,-8.506,21.95,80,0,5.26,MA,1689386069
429,whitecourt,54.1502,-115.6855,18.58,72,100,3.6,CA,1689386069
430,nata,8.3333,-80.5167,26.93,85,100,2.24,PA,1689386069
431,songea,-10.6833,35.65,10.51,94,0,1.62,TZ,1689386069
432,kruisfontein,-34.0033,24.7314,14.38,42,100,4.41,ZA,1689386070
433,isla mujeres,21.2311,-86.731,30.09,85,96,3.91,MX,1689386070
434,zhangjiajie,29.1294,110.4783,24.69,95,100,1.49,CN,1689386071
435,geraldton,-28.7667,114.6,12.23,71,0,7.2,AU,1689386071
436,bovalino,38.149,16.174,28.5,44,0,3.04,IT,1689386071
437,senanga,-16.1167,23.2667,9.66,64,0,2.08,ZM,1689386071
438,island harbour,50.724,-1.2758,17.74,90,79,4.02,GB,1689386072
439,la ronge,55.1001,-105.2842,17.14,48,75,3.09,CA,1689386072
440,longgang,37.6508,120.3286,25.17,72,93,6.43,CN,1689386072
441,moyale,3.5167,39.0584,17.33,82,100,3.84,KE,1689386073
442,kauhava,63.103,23.0713,12.26,97,72,1.72,FI,1689386073
443,san julian,21.0167,-102.1667,17.93,60,44,6.11,MX,1689386073
444,pollock pines,38.7613,-120.5866,32.24,26,0,3.09,US,1689385824
445,hasaki,35.7333,140.8333,30.22,80,100,7.5,JP,1689386074
446,pekan,3.4836,103.3996,26.06,80,100,1.82,MY,1689386074
447,whitby,54.4877,-0.615,15.73,93,50,0.89,GB,1689385937
448,comodoro rivadavia,-45.8667,-67.5,3.92,93,100,5.66,AR,1689386075
449,lanzhou,36.0564,103.7922,24.81,36,1,2.91,CN,1689386075
450,wuchang,44.9143,127.15,19.22,93,100,3.66,CN,1689386075
451,dryden,49.7833,-92.7503,18.16,63,0,4.12,CA,1689386076
452,alo,7.4178,6.7371,23.66,98,100,1.13,NG,1689386076
453,ormara,25.2088,64.6357,28.15,80,100,5.55,PK,1689386076
454,pakuranga,-36.8833,174.9167,16.81,70,100,5.14,NZ,1689386077
455,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,1.0,RU,1689386077
456,progreso,21.2833,-89.6667,27.33,85,19,6.75,MX,1689386078
457,hono,57.6897,11.6497,15.09,87,100,8.66,SE,1689386078
458,griffith,41.5284,-87.4237,28.96,86,0,2.06,US,1689386079
459,silkeborg,56.1697,9.5451,15.93,96,100,4.34,DK,1689386079
460,alpinopolis,-20.8636,-46.3881,8.56,50,0,1.0,BR,1689386079
461,kazaure,12.6513,8.4162,28.13,51,50,2.24,NG,1689386079
462,santa elena de uairen,4.6167,-61.1333,20.21,91,77,1.18,VE,1689386081
463,magong,23.5654,119.5863,28.61,78,100,3.41,TW,1689386081
464,barentu,15.1139,37.5928,22.63,64,40,2.48,ER,1689386082
465,alma,48.5501,-71.6491,21.56,81,11,1.02,CA,1689386083
466,'ain el melh,34.8415,4.1638,28.08,19,0,2.87,DZ,1689386083
467,adiake,5.2863,-3.304,23.86,92,20,0.65,CI,1689386083
468,akhmet'a,42.0311,45.2075,21.29,79,0,2.06,GE,1689386084
469,ambovombe,-25.1667,46.0833,16.79,65,0,5.64,MG,1689386084
470,plessisville,46.2186,-71.762,17.94,92,54,1.66,CA,1689386084
471,sadovoye,47.7764,44.5089,22.22,75,100,7.76,RU,1689386084
472,perry,37.2506,-83.1999,28.4,78,43,0.92,US,1689386085
473,chukhloma,58.7525,42.6825,13.34,81,100,1.4,RU,1689386085
474,robertsport,6.7533,-11.3686,25.17,83,79,1.77,LR,1689386085
475,anacapri,40.5558,14.2136,24.57,88,0,1.74,IT,1689386086
476,makoua,0.0069,15.6333,23.57,76,11,0.89,CG,1689386086
477,selfoss,63.9331,-20.9971,7.8,86,73,4.9,IS,1689386086
478,dublin,37.7021,-121.9358,36.61,50,0,5.66,US,1689385809
479,macon,39.8667,-88.9668,29.03,74,0,2.06,US,1689386087
480,nebbi,2.4783,31.0889,18.25,75,65,0.37,UG,1689386087
481,tiquipaya,-17.3382,-66.2189,15.4,41,91,1.54,BO,1689386088
482,fort mcmurray,56.7268,-111.381,19.77,48,100,3.09,CA,1689386059
